theta       Dist 
326.84       02906.75
327.86       02871.50
329.06       02845.00
330.09       02818.25
331.11       02790.50
332.12       02749.25
333.19       02721.50
334.19       02715.00
335.25       02677.50
336.27       02669.00
337.27       02632.00
338.30       02624.00
339.34       02591.75
340.36       02584.75
341.41       02563.50
342.39       02559.75
343.42       02526.50
344.48       02518.00
345.48       02502.75
346.52       02485.50
347.55       02481.25
348.56       02466.50
349.61       02452.00
350.61       02447.75
351.64       02442.75
352.67       02441.50
353.50       02437.00
354.55       02425.50
355.56       02412.75
356.58       02411.00
357.61       02408.75
359.14       02406.75
0.62       02405.75
1.62       02405.25
2.67       02406.25
3.70       02395.00
4.70       02406.00
5.72       02408.25
6.70       02409.75
7.77       02411.50
8.77       02424.00
9.78       02425.75
10.78       02439.00
11.78       02444.25
12.80       02449.75
13.81       02451.50
14.83       02455.25
15.86       02481.50
16.67       02487.00
17.69       02501.50
18.70       02508.25
19.69       02526.50
20.73       02544.25
21.69       02564.00
22.73       02582.00
23.70       02590.75
24.73       02623.25
25.72       02631.25
26.73       02655.25
27.72       02678.75
28.75       02700.25
29.72       02723.50
30.75       02765.00
31.73       02788.50
32.73       02817.50
33.75       02845.50
34.77       02874.25
35.75       02906.75
36.77       02949.75
37.75       02982.25
38.77       03013.00
39.78       03062.00
41.06       03098.50
42.09       03136.00
43.12       03094.50
44.14       03036.25
45.17       02978.75
46.22       02925.25
47.22       02874.00
48.28       02837.25
49.27       02789.00
50.33       02744.25
51.36       02701.00
52.38       02656.75
53.39       02613.75
54.42       02602.25
55.47       02564.50
56.50       02529.50
57.53       02502.00
58.53       02478.00
59.56       02442.75
60.56       02409.75
61.59       02393.25
62.67       02373.50
63.69       02357.00
64.70       02326.50
65.48       02310.75
66.52       02294.75
67.50       02286.75
68.52       02259.50
69.55       02244.00
70.55       02230.50
71.56       02215.50
72.61       02199.75
73.61       02188.00
74.59       02183.25
75.62       02169.50
76.66       02156.50
77.67       02152.50
78.69       02150.50
79.72       02139.50
80.70       02135.00
81.69       02132.25
82.73       02129.25
83.73       02108.75
84.75       02100.00
85.78       02098.00
86.78       02095.50
87.78       02095.75
88.67       02097.50
89.70       02095.25
90.70       02098.75
91.70       02095.25
92.72       02095.25
93.75       02088.00
94.75       02088.00
95.73       02098.00
96.72       02097.50
97.77       02099.00
98.73       02100.00
99.75       02099.75
100.78       02111.00
101.77       02130.50
102.73       02135.50
103.77       02138.75
104.78       02137.75
105.75       02162.25
106.77       02176.75
107.77       02182.50
108.78       02197.25
109.83       02096.25
110.86       01980.75
111.92       01887.75
112.97       01811.75
113.98       01735.00
115.05       01664.25
116.08       01594.75
117.16       01534.25
118.20       01480.00
119.25       01428.50
120.23       01385.25
121.27       01337.75
122.39       01300.00
