theta       Dist 
229.36       02479.50
230.30       02469.00
231.17       02482.50
232.12       02483.50
233.23       02489.00
234.17       02489.25
235.08       02502.00
235.95       02502.50
236.92       02505.75
237.80       02523.00
238.72       02527.75
239.66       02542.75
240.56       02546.00
241.47       02550.25
242.41       02580.75
243.33       02586.00
244.22       02590.75
245.14       02607.00
246.06       02612.00
246.98       02633.25
247.91       02652.00
248.81       02656.00
249.72       02678.75
250.66       02698.75
251.56       02705.75
252.48       02727.75
253.38       02747.75
254.28       02770.50
255.20       02812.75
256.12       02820.25
256.89       02817.50
257.81       02812.75
258.75       02792.75
259.64       02787.75
260.56       02770.00
261.45       02769.00
262.38       02764.00
263.31       02748.75
264.20       02743.25
265.27       02211.75
266.19       02184.00
267.09       02193.50
267.98       02183.00
268.92       02181.25
269.81       02183.00
270.75       02189.75
271.67       02181.00
272.55       02198.00
273.45       02183.25
274.36       02192.25
275.33       02186.25
276.20       02194.50
277.09       02211.25
278.05       02199.50
278.95       02200.75
279.84       02214.75
280.66       02225.25
281.58       02218.75
282.48       02220.00
283.41       02240.50
284.28       02247.00
285.20       02256.75
286.12       02268.75
287.03       02272.00
287.94       02294.50
288.83       02293.25
289.77       02307.75
290.62       02323.50
291.55       02329.75
292.47       02344.50
293.38       02359.50
294.27       02388.50
295.19       02389.25
296.06       02398.00
297.02       02424.25
297.88       02459.75
298.83       02466.00
299.70       02486.00
300.59       02506.50
301.48       02527.75
302.41       02563.25
303.33       02598.75
304.22       02610.00
305.28       02617.50
306.22       02675.75
307.09       02696.75
308.03       02722.25
308.91       02749.25
309.83       02794.75
310.73       02840.25
311.66       02854.25
312.53       02919.50
313.45       02952.50
314.38       02899.25
315.30       02851.50
316.23       02817.50
317.25       02376.25
318.16       02343.75
319.09       02326.75
320.00       02335.75
320.91       02329.75
321.80       02388.25
322.69       02550.50
323.59       02540.25
324.52       02498.75
325.47       02465.50
326.38       02442.75
327.28       02423.25
328.23       02392.25
329.09       02373.25
330.00       02344.25
330.94       02327.25
331.83       02311.00
332.75       02291.75
333.69       02275.25
334.58       02258.50
335.50       02244.00
336.42       02218.75
337.33       02202.25
338.25       02188.25
339.17       02181.75
340.08       02159.75
340.98       02153.75
341.91       02151.00
342.83       02136.75
343.73       02118.25
344.69       02114.25
345.58       02111.75
346.48       02105.75
347.42       02095.00
348.30       02093.50
349.25       02091.25
350.16       02075.25
351.08       02071.00
351.98       02062.00
352.80       02068.25
353.70       02050.50
354.61       02048.25
355.53       02048.00
356.44       02048.00
357.31       02038.50
358.22       02039.75
358.70       02039.75
359.61       02037.75
0.03       02037.75
0.98       02036.75
1.89       02038.75
2.81       02040.00
3.69       02046.25
4.61       02046.00
5.47       02056.75
6.41       02058.25
7.30       02058.75
8.25       02060.00
9.14       02071.00
10.03       02073.25
10.92       02081.50
11.83       02085.25
12.73       02093.00
13.67       02096.50
14.55       02105.75
15.44       02110.75
16.39       02115.25
17.09       02117.75
17.97       02145.00
18.88       02151.00
19.78       02159.50
20.70       02160.50
21.58       02182.25
22.47       02198.00
23.41       02211.25
24.28       02218.50
25.17       02243.00
26.06       02258.50
26.98       02274.25
27.88       02294.25
28.75       02310.75
29.66       02330.00
30.53       02347.00
31.47       02376.50
32.34       02394.25
33.23       02421.00
34.14       02444.50
35.05       02467.50
35.94       02500.75
36.81       02526.75
37.72       02563.50
38.62       02588.00
39.52       02614.00
40.86       02629.50
41.80       02588.00
42.69       02526.50
43.59       02565.00
44.52       02584.50
45.47       02545.25
46.41       02489.25
47.33       02464.50
48.25       02426.25
49.17       02391.75
50.11       02360.50
51.02       02326.25
51.95       02296.00
52.84       02284.75
53.78       02254.75
54.69       02215.50
55.69       02093.50
56.61       02069.50
57.52       02056.00
58.45       02031.00
59.38       02005.75
60.31       01985.50
61.23       01969.25
62.12       01952.50
63.05       01933.25
64.00       01914.50
64.75       01907.00
65.66       01902.50
66.53       01878.75
67.47       01861.25
68.41       01855.25
69.31       01844.25
70.23       01834.75
71.17       01823.25
72.02       01812.50
72.97       01799.00
73.89       01794.50
74.81       01790.25
75.72       01775.50
76.59       01772.25
77.56       01768.25
78.47       01756.25
79.38       01752.50
80.28       01744.50
81.22       01736.25
82.09       01739.75
83.03       01734.50
83.91       01731.25
84.80       01725.50
85.72       01730.00
86.67       01723.00
87.59       01718.50
88.47       01717.00
89.39       01717.50
90.33       01717.25
91.23       01717.25
92.14       01716.00
93.06       01717.25
93.97       01717.75
94.89       01718.25
95.81       01718.75
96.72       01725.00
97.64       01732.00
98.52       01734.00
99.44       01734.00
100.38       01735.50
101.27       01742.50
102.00       02184.75
102.95       02044.25
103.88       02006.50
104.80       02007.25
105.66       02131.50
106.58       02119.50
107.52       02059.00
108.38       02140.75
109.30       02071.75
110.25       02032.00
111.12       02129.25
112.00       02202.00
113.16       02139.50
114.06       02106.75
114.98       02138.50
115.88       02239.50
116.77       02210.75
117.75       02137.75
118.61       02188.25
119.55       02197.00
120.45       02200.75
121.33       02310.75
122.27       02359.50
123.19       02360.50
124.06       02390.75
124.98       02425.50
125.89       02460.25
126.80       02485.50
127.73       02509.25
128.62       02562.25
129.58       02505.75
130.47       02465.00
131.42       02426.00
132.33       02390.75
133.25       02358.00
134.20       02326.00
135.08       02390.75
136.00       02358.00
136.97       02311.50
137.89       02291.00
138.81       02258.50
139.84       00000.00
140.80       01910.50
141.72       01898.25
142.61       01899.25
143.50       00000.00
144.36       02099.00
145.31       02073.50
146.22       02049.00
147.19       02032.75
148.08       02010.25
149.00       01985.50
149.92       01977.75
150.81       00000.00
151.83       01854.75
152.77       01833.75
153.55       00000.00
154.61       01762.75
155.56       01771.75
156.44       01762.75
157.36       01762.75
158.28       01762.75
159.20       01762.75
159.94       00000.00
160.86       00000.00
161.72       01697.25
162.98       01221.25
